# 1time	2zRef	3thetaRef	4phiRef	5psiRef	6Ez	7Etheta	8Ephi	9Epsi	10Upuissance	11utheta	12uphi	13upsi	14PWMM1	15PWMM2	16PWMM3	17PWMM4
0.002000	0.800000	0.000000	0.000000	0.000000	0.799666	0.000004	0.000000	-0.000000	250.000000	0.000079	0.000004	0.000000	249.999924	249.999924	250.000076	250.000076
0.004000	0.800000	0.000000	0.000000	0.000000	0.799338	0.000011	0.000000	-0.000001	250.000000	0.000222	0.000004	0.000000	249.999771	249.999771	250.000229	250.000229
0.006000	0.800000	0.000000	0.000000	0.000000	0.799017	0.000021	0.000000	-0.000001	250.000000	0.000428	0.000007	0.000000	249.999573	249.999573	250.000427	250.000427
0.008000	0.800000	0.000000	0.000000	0.000000	0.798703	0.000034	0.000000	-0.000001	250.000000	0.000683	0.000007	0.000000	249.999313	249.999313	250.000687	250.000687
0.010000	0.800000	0.000000	0.000000	0.000000	0.798395	0.000049	0.000000	-0.000000	250.000000	0.000981	0.000002	0.000000	249.999023	249.999023	250.000977	250.000977
0.012000	0.800000	0.000000	0.000000	0.000000	0.798093	0.000066	-0.000000	-0.000000	250.000000	0.001321	-0.000003	0.000000	249.998672	249.998672	250.001328	250.001328
0.014000	0.800000	0.000000	0.000000	0.000000	0.797797	0.000084	-0.000001	-0.000000	250.000000	0.001693	-0.000011	0.000000	249.998322	249.998291	250.001678	250.001709
0.016000	0.800000	0.000000	0.000000	0.000000	0.797507	0.000104	-0.000001	-0.000000	250.000000	0.002097	-0.000022	0.000000	249.997925	249.997894	250.002075	250.002106
0.018000	0.800000	0.000000	0.000000	0.000000	0.797262	0.000126	-0.000002	-0.000000	250.000000	0.002523	-0.000032	0.000000	249.997513	249.997452	250.002487	250.002548
0.020000	0.800000	0.000000	0.000000	0.000000	0.797022	0.000148	-0.000002	0.000000	250.000000	0.002968	-0.000041	0.000000	249.997070	249.996979	250.002930	250.003021
0.022000	0.800000	0.000000	0.000000	0.000000	0.796786	0.000171	-0.000002	0.000001	250.000000	0.003434	-0.000048	0.000000	249.996613	249.996521	250.003387	250.003479
0.024000	0.800000	0.000000	0.000000	0.000000	0.796556	0.000195	-0.000003	0.000003	250.000000	0.003917	-0.000055	0.000000	249.996140	249.996017	250.003860	250.003983
0.026000	0.800000	0.000000	0.000000	0.000000	0.796330	0.000219	-0.000003	0.000004	250.000000	0.004405	-0.000061	0.000000	249.995651	249.995529	250.004349	250.004471
0.028000	0.800000	0.000000	0.000000	0.000000	0.796108	0.000243	-0.000003	0.000005	250.000000	0.004898	-0.000066	0.000000	249.995163	249.995041	250.004837	250.004959
0.030000	0.800000	0.000000	0.000000	0.000000	0.795891	0.000268	-0.000003	0.000006	250.000000	0.005394	-0.000070	0.000000	249.994690	249.994537	250.005310	250.005463
0.032000	0.800000	0.000000	0.000000	0.000000	0.795679	0.000293	-0.000004	0.000007	250.000000	0.005891	-0.000074	0.000000	249.994186	249.994034	250.005814	250.005966
0.034000	0.800000	0.000000	0.000000	0.000000	0.795470	0.000317	-0.000004	0.000008	250.000000	0.006389	-0.000077	0.000000	249.993683	249.993530	250.006317	250.006470
